Event,Count,SysTime
Feed1,192,526605.78960000002
Lick1,1,526605.911616
Lick1,2,526606.04758400004
Lick1,0,526606.181568
Feed1,193,526606.19356799999
Lick1,1,526606.41958400002
Lick1,2,526606.55958400003
Lick1,0,526606.69356799999
Feed1,194,526606.70556799998
Lick1,1,526606.82956800004
Lick1,2,526607.13558400003
Lick1,0,526607.747584
Feed1,195,526607.75958399998
Lick1,1,526607.88156799995
Lick1,2,526608.29158399999
Lick1,0,526608.97158400004
Feed1,196,526608.97958399996
Lick1,1,526609.10553599999
Lick1,2,526609.51155199995
Lick0,0,526610.90553600003
Feed0,13,526610.91753600002
Lick1,1,526610.92553600005
Lick0,2,526610.93753600004
Lick1,0,526611.51955199998
Feed1,197,526611.52755200001
Lick1,1,526612.05952000001
Lick1,2,526612.19952000002
Lick0,0,526620.65740799997
Feed0,14,526620.66940799996
Lick1,1,526620.67740799999
Lick1,2,526620.99542399996
Lick1,0,526621.26742399996
Feed1,198,526621.27942399995
Lick1,1,526621.709408
Lick1,2,526621.94742400001
Lick1,0,526622.08140799997
Feed1,199,526622.09340799996
Lick1,1,526622.52342400001
Lick1,2,526622.65942399995
Lick1,0,526623.13539199997
Feed1,200,526623.14739199996
Lick0,1,526647.52911999996
Lick1,2,526647.53711999999
Lick0,0,526648.30713600002
Feed0,15,526648.32111999998
Lick1,1,526648.32912000001
Lick1,2,526648.44713600003
Lick1,0,526648.81913600001
Feed1,201,526648.83113599999
Lick1,1,526648.95513599995
Lick0,2,526675.85679999995
Lick1,0,526675.86479999998
Feed1,202,526675.87679999997
Lick0,1,526728.46806400002
Lick1,2,526728.47606400005
Lick1,0,526728.60207999998
Feed1,203,526728.61407999997
Lick1,1,526729.18006399996
Lick1,2,526731.65804799995
Lick1,0,526731.89603199996
Feed1,204,526731.90803199995
Lick1,1,526732.08403200004
Lick1,2,526738.247936
Lick1,0,526740.52191999997
Feed1,205,526740.53391999996
Lick1,1,526741.09791999997
Lick0,2,526776.89145600004
Lick1,0,526776.90345600003
Feed1,206,526776.91545600002
Lick0,1,526797.30521599995
Lick1,2,526797.31321599998
Lick1,0,526797.60921599995
Feed1,207,526797.62121600006
Lick1,1,526797.94921600004
Lick1,2,526798.42720000003
Lick1,0,526798.69721599994
Feed1,208,526798.71120000002
Lick1,1,526804.50713599997
Lick0,2,526834.63078400004
Lick1,0,526834.64278400003
Feed1,209,526834.65478400001
Lick0,1,526851.03859200003
Lick1,2,526851.04659200006
Lick1,0,526851.17260799999
Feed1,210,526851.18659199995
Lick0,1,526895.66204800003
Lick1,2,526895.676064
Lick1,0,526895.904064
Feed1,211,526895.91206400003
Lick1,1,526896.54816000001
Lick1,2,526896.78006400005
Lick1,0,526897.39606399997
Feed1,212,526897.40806399996
Lick1,1,526897.89004800003
Lick1,2,526899.30003200006
Lick1,0,526899.67203200003
Feed1,213,526899.68403200002
Lick1,1,526899.80803199997
Lick1,2,526899.94201600004
Lick1,0,526900.18000000005
Feed1,214,526900.19200000004
Lick1,1,526900.31599999999
Lick1,2,526900.44998399995
Lick1,0,526900.58998399996
Feed1,215,526900.59798399999
Lick1,1,526900.72598400002
Lick1,2,526900.85999999999
Lick1,0,526900.99600000004
Feed1,216,526901.00800000003
Lick1,1,526901.129984
Lick1,2,526901.26598400006
Lick1,0,526901.40598399995
Feed1,217,526901.414016
Lick1,1,526901.54000000004
Lick1,2,526901.77798400004
Lick1,0,526901.91200000001
Feed1,218,526901.92598399997
Lick1,1,526902.04799999995
Lick1,2,526902.18198400002
Lick1,0,526902.59199999995
Feed1,219,526902.60598400002
Lick1,1,526902.69398400001
Lick1,2,526903.23596800002
Lick1,0,526903.37196799996
Feed1,220,526903.38396799995
Lick1,1,526903.50995199999
Lick1,2,526903.64595200005
Lick1,0,526903.77996800002
Feed1,221,526903.791968
Lick1,1,526903.91596799996
Lick1,2,526904.56195200002
Lick1,0,526904.69795199996
Feed1,222,526904.70995199995
Lick1,1,526904.96796799998
Lick1,2,526905.10393600003
Lick1,0,526905.23791999999
Feed1,223,526905.24991999997
Lick1,1,526906.02191999997
Lick1,2,526906.15593600005
Lick1,0,526906.70192000002
Feed1,224,526906.71392000001
Lick1,1,526906.867936
Lick1,2,526907.00793600001
Lick1,0,526907.27792000002
Feed1,225,526907.28992000001
Lick1,1,526907.41391999996
Lick1,2,526907.54793600005
Lick1,0,526907.68393599999
Feed1,226,526907.69593599997
Lick1,1,526907.82192000002
Lick1,2,526907.95791999996
Lick1,0,526908.19590399996
Feed1,227,526908.20790399995
Lick1,1,526908.36390400003
Lick1,2,526908.60188800003
Lick1,0,526908.735904
Feed1,228,526908.74790399999
Lick1,1,526909.01190399996
Lick1,2,526909.41590400005
Lick1,0,526909.58790399996
Feed1,229,526909.59590399999
Lick1,1,526909.72390400001
Lick1,2,526909.85788799997
Lick1,0,526909.99388800003
Feed1,230,526910.005856
Lick1,1,526910.12787199998
Lick1,2,526910.267872
Lick1,0,526910.40387200005
Feed1,231,526910.41187199997
Lick1,1,526910.53785600001
Lick1,2,526910.70585599996
Lick1,0,526910.94387199997
Feed1,232,526910.95587199996
Lick1,1,526911.07987200003
Lick1,2,526911.353856
Lick1,0,526911.65587200003
Feed1,233,526911.66787200002
Lick1,1,526911.79587200005
Lick1,2,526911.89385600004
Lick1,0,526912.03385600005
Feed1,234,526912.04185599997
Lick1,1,526912.201856
Lick1,2,526912.33587199997
Lick1,0,526912.61187200004
Feed1,235,526912.61987199995
Lick1,1,526912.74585599999
Lick1,2,526912.88185600005
Lick1,0,526913.01584000001
Feed1,236,526913.02784
Lick1,1,526913.18784000003
Lick1,2,526913.32383999997
Lick1,0,526913.45984000002
Feed1,237,526913.47184000001
Lick1,1,526913.59382399998
Lick1,2,526913.72982400004
Lick1,0,526913.86384000001
Feed1,238,526913.87583999999
Lick1,1,526914.00384000002
Lick1,2,526914.13782399998
Lick1,0,526914.27382400003
Feed1,239,526914.28582400002
Lick1,1,526914.40982399997
Lick1,2,526914.67984
Lick1,0,526915.25779199996
Feed1,240,526915.26979199995
Lick1,1,526915.39180800004
Lick1,2,526915.53180800006
Lick1,0,526915.83379199996
Feed1,241,526915.84579199995
Lick1,1,526915.96979200002
Lick1,2,526916.10979200003
Lick1,0,526916.243808
Feed1,242,526916.25580799999
Lick1,1,526916.547808
Lick1,2,526916.68579200003
Lick1,0,526916.82179199997
Feed1,243,526916.829792
Lick1,1,526916.98979200004
Lick1,2,526917.123808
Lick1,0,526917.25980799994
Feed1,244,526917.27180800005
Lick1,1,526917.39980799996
Lick1,2,526917.70179199998
Lick1,0,526917.83779200003
Feed1,245,526917.84979200002
Lick1,1,526917.97580799996
Lick1,2,526918.14377600001
Lick1,0,526918.27977599995
Feed1,246,526918.29177600006
Lick1,1,526918.41379200004
Lick1,2,526918.55376000004
Lick1,0,526918.68975999998
Feed1,247,526918.70175999997
Lick1,1,526918.82377599995
Lick1,2,526918.959776
Lick1,0,526919.09375999996
Feed1,248,526919.10575999995
Lick1,1,526919.40176000004
Lick1,2,526919.53775999998
Lick1,0,526919.67177599994
Feed1,249,526919.68377600005
Lick1,1,526920.08172799996
Lick1,2,526920.21574400004
Lick1,0,526920.35174399999
Feed1,250,526920.36374399997
Lick1,1,526920.51974400005
Lick1,2,526920.65974399995
Lick1,0,526920.79372800002
Feed1,251,526920.80572800001
Lick1,1,526920.92972799996
Lick1,2,526921.06374400004
Lick1,0,526921.19974399998
Feed1,252,526921.21174399997
Lick1,1,526921.64172800002
Lick1,2,526921.91174400004
Lick1,0,526922.38771200005
Feed1,253,526922.39971200004
Lick1,1,526922.52569599997
Lick1,2,526922.93171200005
Lick1,0,526923.20371200005
Feed1,254,526923.21571200003
Lick1,1,526923.34169599996
Lick1,2,526924.631712
Lick1,0,526924.93571200001
Feed1,255,526924.94771199999
Lick1,1,526925.06966399995
Lick1,2,526925.37766400003
Lick1,0,526925.51168
Feed1,256,526925.52566399996
Lick1,1,526925.64768000005
Lick1,2,526926.08966399997
Lick1,0,526926.53168000001
Feed1,257,526926.54566399998
Lick1,1,526926.97568000003
Lick1,2,526927.10963199998
Lick1,0,526927.585632
Feed1,258,526927.59763199999
Lick1,1,526931.59161600005
Lick1,2,526931.72959999996
Lick1,0,526931.93161600002
Feed1,259,526931.943616
Lick1,1,526932.44358399999
Lick1,2,526933.257568
Lick1,0,526933.355584
Feed1,260,526933.36758399999
Lick1,1,526933.59756799997
Lick0,2,526935.191552
Lick1,0,526935.19955200003
Feed1,261,526935.21155200002
Lick0,1,526935.23955199996
Lick1,2,526935.76953599998
Lick1,0,526937.19353599998
Feed1,262,526937.20553599996
Lick1,1,526937.43155199999
Lick1,2,526937.56953600002
Lick1,0,526937.70553599996
Feed1,263,526937.71753599995
Lick1,1,526937.84153600002
Lick1,2,526937.97555199999
Lick1,0,526938.62352000002
Feed1,264,526938.63152000005
Lick1,1,526938.75750399998
Lick1,2,526938.89350400004
Lick1,0,526939.02950399998
Feed1,265,526939.04150399996
Lick1,1,526939.16351999994
Lick1,2,526939.29952
Lick1,0,526939.43750400003
Feed1,266,526939.44752000005
Lick1,1,526939.57350399997
Lick1,2,526939.94550399994
Lick1,0,526940.08147199999
Feed1,267,526940.09347199998
Lick1,1,526940.25347200001
Lick1,2,526940.62547199999
Lick1,0,526940.89747199998
Feed1,268,526940.907488
Lick1,1,526941.40348800004
Lick1,2,526941.54348800005
Lick1,0,526941.67948799999
Feed1,269,526941.69148799998
Lick1,1,526941.81347199995
Lick1,2,526941.94947200001
Lick1,0,526942.35744000005
Feed1,270,526942.36745599995
Lick1,1,526943.17344000004
Lick1,2,526943.30943999998
Lick1,0,526943.57945600001
Feed1,271,526943.59145599999
Lick1,1,526943.84944000002
Lick1,2,526943.98944000003
Lick1,0,526944.123456
Feed1,272,526944.13545599999
Lick1,1,526944.25945600006
Lick1,2,526944.427456
Lick1,0,526944.56544000003
Feed1,273,526944.57545600005
Lick1,1,526944.70143999998
Lick1,2,526944.83744000003
Lick1,0,526944.971456
Feed1,274,526944.98345599999
Lick1,1,526945.10742400005
Lick1,2,526945.41340800002
Lick1,0,526945.54940799996
Feed1,275,526945.56140799995
Lick1,1,526945.71740800003
Lick1,2,526945.99142400001
Lick1,0,526946.29542400001
Feed1,276,526946.307424
Lick1,1,526946.87142400001
Lick1,2,526947.58537600003
Lick1,0,526948.02739199996
Feed1,277,526948.03939199995
Lick1,1,526948.16137600003
Lick1,2,526948.30137600005
Lick1,0,526948.43737599999
Feed1,278,526948.44937599998
Lick1,1,526948.57139199995
Lick1,2,526949.28537599999
Lick1,0,526949.45337600005
Feed1,279,526949.46537600004
Lick1,1,526949.59139199997
Lick1,2,526949.72739200003
Lick1,0,526950.02934400004
Feed1,280,526950.04134400003
Lick1,1,526951.15136000002
Lick1,2,526951.28735999996
Lick1,0,526951.56134400005
Feed1,281,526951.56934399996
Lick1,1,526951.99932800001
Lick1,2,526952.13532799995
Lick1,0,526952.27331199998
Feed1,282,526952.28332799999
Lick1,1,526952.78131200001
Lick1,2,526953.39331199997
Lick0,0,526955.09129600006
Feed0,16,526955.09929599997
Lick1,1,526955.11328000005
Lick1,2,526955.227296
Lick1,0,526956.17727999995
Feed1,283,526956.18928000005
Lick1,1,526956.68527999998
Lick0,2,526957.73724799999
Lick1,0,526957.74924799998
Feed1,284,526957.75926399999
Lick0,1,526957.77526400005
Lick1,2,526957.87324800005
Lick1,0,526958.28326399997
Feed1,285,526958.29526399996
Lick1,1,526958.41724800004
Lick1,2,526958.55324799998
Lick1,0,526958.68924800004
Feed1,286,526958.70124800003
Lick1,1,526959.09724799998
Lick1,2,526959.36924799997
Lick1,0,526959.64326399995
Feed1,287,526959.65126399999
Lick1,1,526959.77724800003
Lick1,2,526960.28521600005
Lick1,0,526960.42121599999
Feed1,288,526960.43321599998
Lick1,1,526961.23721599998
Lick1,2,526961.37123199995
Lick1,0,526961.51123199996
Feed1,289,526961.51923199999
Lick1,1,526961.64723200002
Lick1,2,526961.94921600004
Lick1,0,526962.80121599999
Feed1,290,526962.80921600002
Lick1,1,526962.93523199996
Lick1,2,526963.30918400001
Lick1,0,526963.44518399995
Feed1,291,526963.45718400006
Lick1,1,526963.57920000004
Lick1,2,526963.71519999998
Lick1,0,526964.02118399995
Feed1,292,526964.03520000004
Lick1,1,526964.56720000005
Lick1,2,526965.005152
Lick1,0,526965.71715200006
Feed1,293,526965.72915200004
Lick1,1,526965.92316799995
Lick1,2,526966.05715200002
